This file is to normalize the text so that british spellings can be recognized as american english. 
   COLUMN 1: the Americanized spelling of a word (what gets indexed)
   COLUMN 2: the British spelling (what is looked for in the text)
Adapted from https://raw.githubusercontent.com/AdmitHub/normalize-english/master/data/british.js

Index or Substitute?  SUBSTITUTE
1                     2
======================================================================================================================
accessoriz           accessoris
acclimatiz           acclimatis
accouter             accoutre
eon                  aeon
esthet               aesthet 
etiolog              aetiolog
aging                ageing
aggrandiz            aggrandis
agoniz               agonis
almanac              almanack
aluminum             aluminium
amortiz              amortis
theater              theatre
anem                 anaem
anesthetiz           anaesthetis|anaesthetiz
analog               analogue
analyz               analys
angliciz             anglicis
annualiz             annualis
antagoniz            antagonis
apologiz             apologis
appall               appal
appetiz              appetis
arbor                arbour
ardor                ardour
armor                armour
artifact             artefact
authoriz             authoris
ax                   axe
backpedal            backpedall
banister             bannister
baptiz               baptis
bastardiz            bastardis
balk                 baulk
behavior             behaviour
behoove              behove
bejewel              bejewell
bevel                bevell
bev                  bevv
bias                 biass
binging              bingeing
bougainvillea        bougainvillaea
bowdleriz            bowdleris
breathalyz           breathalys
brutaliz             brutalis
busses               buses
bussing              busing
cesarean             caesarean
caliber              calibre
caliper              calliper
calisthenics         callisthenics
canaliz              canalis
cancel               cancell
candor               candour
cannibaliz           cannibalis
canoniz              canonis 
capitaliz            capitalis
carameliz            caramelis
carboniz             carbonis
carol                caroll
catalog              catalogue
cataloged            catalogued
cataloging           cataloguing
catalyz              catalys
categoriz            categoris
cauteriz             cauteris
cavile               cavill
centraliz            centralis
center               centre
centered             centred
cesium               caesium
channel              channell
characteriz          characteris
check                cheque
checker              chequer
chili                chilli
chimera              chimaera
chisel               chisell
circulariz           circularis
civiliz              civilis
clamor               clamour
clangor              clangour
clarinetist          clarinettist
collectiviz          collectivis
coloniz              colonis
color                colour
commercializ         commercialis
compartmentaliz      compartmentalis
computeriz           computeris
conceptualiz         conceptualis
connection           connexion
contextualiz         contextualis
cozier               cosier
cozies               cosies
cozily               cosily
coziness             cosiness
cozy                 cosy
council              councill
crenel               crenell
criminaliz           criminalis 
criticiz             criticis
cruel                cruell
crystalliz           crystallis
cudgel               cudgell
customiz             customis
cipher               cypher
defens               defenc
demeanor             demeanour
democratiz           democratis
demoniz              demonis
deodoriz             deodoris
deputiz              deputis
dial                 diall
dialog               dialogue
dialogs              dialogues
diarrhea             diarrhoea
digitiz              digitis
disk                 disc
discolor             discolour
disembowel           disembowell
dishevel             dishevell
distil               distill
dramatiz             dramatis
draft                draught
drivel               drivell
duel                 duell
economiz             economis
edema                edoema 
editorializ          editorialis
empathiz             empathis
emphasiz             emphasis
enamel               enamell
enamor               enamour
encyclopedi          encyclopaedi
endeavor             endeavour
energiz              energis
enroll               enrol
enthrall             enthral
epaulet              epaulett
epilog               epilogue
epilogs              epilogues
epitomiz             epitomis
equaliz              equalis
eulogiz              eulogis
evangeliz            evangelis
exorciz              exorcis
extemporiz           extemporis
externaliz           externalis
factoriz             factoris
fece                 faece
familiariz           familiaris
fantasiz             fantasis
favor                favour
feminiz              feminis
fertiliz             fertilis
fervor               fervour
fiber                fibre
fictionaliz          fictionalis
filet                fillet
finaliz              finalis
flutist              flautist
flavor               flavour
fetal                foetal
fetid                foetid
fetus                foetus
formaliz             formalis
fossiliz             fossilis
fraterniz            fraternis
fuel                 fuell
fulfill              fulfil
funnel               funnell
galvaniz             galvanis
gambol               gamboll
jail                 gaol
gasses               gases
gage                 gauge
gaging               gauging
generaliz            generalis
ghettoize            ghettoise
gyps                 gips
glamoriz             glamoris
glamor               glamour
