
COLUMN 1: the catalog number to search for, in regular expression format.  The catalog itself should be
in one captured group, the id number and/or coordinate in the other
COLUMN 2: not used by the algorithm, but a human-readable reminder of what format the catalog number is in
COLUMN 3: word, phrase, or multiple phrases to use in the extended search fields (.x) of each of the "words"
indexed when the catalog number in Column 1 is found in the text. 
https://lambda.gsfc.nasa.gov/product/lss/
https://heasarc.gsfc.nasa.gov/docs/cgro/db-perl/W3Browse/w3table.pl?MissionHelp=galaxy_catalog
https://ned.ipac.caltech.edu/level5/CATALOGS/pgc.html
http://cds.u-strasbg.fr/cgi-bin/Dic-Simbad?/542196
http://cdsweb.u-strasbg.fr/cgi-bin/Dic-Simbad?4C

Index or Substitute?  INDEX
 1                                                                   2                         3         
===============================================================================================================================
([12]rxhj?)([0-9]+)                                                  HHMMSS.s+DDMMSS           ROSAT_high_resolution_catalog|*x_ray_image_catalog             
([12]rxsj?)([0-9]+)                                                  HHMMSS.s+DDMMSS           ROSAT_point_source_catalog|*x_ray_point_source_catalog             
tg[sn][0-9]{3}z[0-9]{3}                                              tgsNNNzNNN                visible_spectroscopy_catalog|2dfgrs_catalog
(2maspj?)([0-9]+)                                                    HHMMSSs+DDMMSS            near_infrared_image_catalog|2mass_catalog  
(2massij?)([0-9]+)                                                   HHMMSSs+DDMMSS            near_infrared_image_catalog|2mass_catalog
(2massj?)([0-9]+)                                                    HHMMSSss+DDMMSSs          near_infrared_image_catalog|2mass_catalog
(2masssj?)([0-9]+)                                                   HHMMSSs+DDMMSS            near_infrared_image_catalog|2mass_catalog
(2masswj?)([0-9]+)                                                   HHMMSSs+DDMMSS            near_infrared_image_catalog|2mass_catalog  
(2masxsj?)([0-9]+)                                                   HHMMSSss+DDMMSSs          near_infrared_image_catalog|2mass_catalog
(2masxj?)([0-9]+)                                                    HHMMSSss+DDMMSSs          near_infrared_image_catalog|2mass_catalog
2mfgc[0-9]+                                                          NNNNN                     near_infrared_image_catalog|disk_galaxy_catalog
