Comments:  commonly  misspelled  words,  taken  from https://raw.githubusercontent.com/AdmitHub/normalize-english/master/data/spellfix.js
COLUMN 1:  the correct spelling; COLUMN 2: misspelled word
1                             2
=============================================
additionally                  additinally                   
additionally                  aditionally                   
celcius                       celcious                      
abandon                       abanden                       
abandoned                     abandonned                    
aberration                    abberation                    
about                         abbout                        
abbreviation                  abbriviation                  
aberration                    aberation                     
abilities                     abilties                      
abysmal                       abizmal                       
abortifacient                 abortificant                  
actually                      accually                      
actually                      actualyl                      
actually                      acutally                      
actually                      actualy                       
abbreviation                  abreviation                   
arbitrary                     abritrary                     
abbreviate                    abriviate                     
absence                       abscence                      
abscond                       abscound                      
absence                       absense                       
absorption                    absorbsion                    
absorption                    absorbtion                    
absolve                       absove                        
abundances                    abundacies                    
abundances                    abundancies                   
abundance                     abundence                     
abundant                      abundent                      
abundant                      abundunt                      
abuts                         abutts                        
academy                       acadamy                       
academic                      acadmic                       
academy                       acatemy                       
academy                       accademy                      
accelerate                    accellerate                   
accelerating                  accellerating                 
acceleration                  accelleration                 
acceptance                    acceptence                    
acceptable                    acceptible                    
acceptably                    acceptibly                    
accessible                    accesabel                     
accessible                    accesabele                    
accessible                    accesable                     
accessible                    accesibel                     
accessible                    accesibele                    
accessible                    accesible                     
accessories                   accesories                    
accessory                     accesory                      
accessible                    accessabel                    
accessible                    accessabele                   
accessible                    accessable                    
accessible                    accessibel                    
accessible                    accessibele                   
accident                      accidant                      
accidentally                  accidentaly                   
acclimatization               acclimitization               
accommodate                   accomadate                    
accommodated                  accomadated                   
accommodates                  accomadates                   
accommodation                 accomadatin                   
accommodating                 accomadating                  
accommodations                accomadatins                  
accommodation                 accomadation                  
accommodations                accomadations                 
accommodation                 accomadtion                   
accommodations                accomadtions                  
accompany                     accomany                      
accompanying                  accomanying                   
accommodate                   accomidate                    
accommodated                  accomidated                   
accommodates                  accomidates                   
accommodating                 accomidating                  
accommodation                 accomidation                  
accommodations                accomidations                 
accommodate                   accommadate                   
accommodated                  accommadated                  
accommodates                  accommadates                  
accommodation                 accommadatin                  
accommodating                 accommadating                 
accommodations                accommadatins                 
accommodation                 accommadation                 
accommodations                accommadations                
accommodation                 accommadtion                  
accommodations                accommadtions                 
accommodate                   accommidate                   
accommodated                  accommidated                  
accommodates                  accommidates                  
accommodating                 accommidating                 
accommodation                 accommidation                 
accommodations                accommidations                
accommodation                 accommodatin                  
accommodations                accommodatins                 
accommodation                 accommodtion                  
accommodations                accommodtions                 
accommodate                   accomodate                    
accommodated                  accomodated                   
accommodates                  accomodates                   
accommodation                 accomodatin                   
accommodating                 accomodating                  
accommodations                accomodatins                  
accommodation                 accomodation                  
accommodations                accomodations                 
accommodation                 accomodtion                   
accommodations                accomodtions                  
accompanied                   accompanyed                   
accomplish                    accompish                     
accomplished                  accompished                   
accomplishes                  accompishes                   
accordion                     accordeon                     
accordion                     accordian                     
accordionists                 accordianists                 
according                     accoring                      
acoustic                      accoustic                     
acoustically                  accoustically                 
accused                       accussed                      
academic                      acedemic                      
accessible                    acesabel                      
accessible                    acesabele                     
accessible                    acesable                      
accessible                    acesibel                      
accessible                    acesibele                     
accessible                    acesible                      
access                        acess                         
accessible                    acessabel                     
accessible                    acessabele                    
accessible                    acessable                     
accessible                    acessibel                     
accessible                    acessibele                    
accessible                    acessible                     
accessories                   acessories                    
accessory                     acessory                      
achieve                       acheeve                       
achieve                       acheive                       
achieved                      acheived                      
achievement                   acheivement                   
achievements                  acheivements                  
achieves                      acheives                      
achieving                     acheiving                     
achievement                   acheivment                    
