COLUMN 1: the molecular chemical symbol
COLUMN 2: the molecule, spelled out
reference:https://www.nap.edu/read/21774/chapter/11
The code that reads in this file is specific to molecules and elements and
1                     2                                          3
=====================================================================================
AlCl                  aluminum_*monochloride                     aluminum_*chlorine_*mono
AlNC                  aluminum_*isocyanide                       aluminum_nitrogen_carbon_*iso_*cyan
AlOH                  aluminum_*hydroxide                        aluminum_oxygen_hydrogen
ArH                   *argonium                                  *argon_hydrogen
AlF                   aluminum_*monofluoride                     aluminum_*fluorine
AlO                   aluminum_*monoxide                         aluminum_oxygen
buckministerfullerene fullerene                                  carbon
buckyballs            fullerene                                  carbon
buckyball             fullerene                                  carbon
cyanotriacetylene     *cyanohexatriyne                           hydrogen_carbon_nitrogen
CH3CH2CHO             *propanal                                  hydrogen_carbon_oxygen
CH3CHCH2O             *propylene_oxide                           hydrogen_carbon_oxygen
CH3OCH2OH             *methoxymethanol                           hydrogen_carbon_oxygen
CH3COOCH3             *methyl_*acetate                           hydrogen_carbon_oxygen
C2H5OCHO              *ethyl_*formate                            hydrogen_carbon_oxygen
C2H5OCH3              *ethyl_*methyl_*ether                      hydrogen_carbon_oxygen
CH2CCHCN              *cyanoallene                               hydrogen_carbon_nitrogen
CH2CHCHO              *propenal                                  hydrogen_carbon_oxygen
CH32CHCN              *isopropyl_*cyanide                        hydrogen_carbon_nitrogen
CH3CH2CN              *propionitrile                             hydrogen_carbon_nitrogen
CH3CH2OH              *ethanol                                   hydrogen_carbon_oxygen
CH3CH2SH              *ethyl_*mercaptan                          hydrogen_carbon_sulfur
CH3CHCH2              *propylene                                 hydrogen_carbon
CH3CONH2              *acetamide                                 hydrogen_carbon_oxygen_nitrogen
COCH2OH2              *dihydroxyacetone                          hydrogen_carbon_oxygen
CH2CHCN               *acrylonitrile                             hydrogen_carbon_nitrogen
CH2DCCH               deuterated_*methylacetylene                hydrogen_deuterium_carbon
CH3COOH               *acetic_acid                               hydrogen_carbon_oxygen
CH3OCH3               *dimethyl_*ether                           hydrogen_carbon_oxygen
cC2H4O                *ethylene_oxide                            hydrogen_carbon_oxygen
cH2C3O                *cyclopropenone                            hydrogen_carbon_oxygen
cC3H2                 *cyclopropenylidene                        hydrogen_carbon
cSiC2                 silicon_*dicarbide                         silicon_carbon
C14H10                *anthracene                                hydrogen_carbon
C16H10                *pyrene                                    hydrogen_carbon
C3H7CN                *npropyl_*cyanide                          hydrogen_carbon_nitrogen
C6H5CN                *benxonitrile                              hydrogen_carbon_nitrogen
cC2H4O                *ethylene_oxide                            hydrogen_carbon_oxygen
CH2CNH                *ketenimine                                hydrogen_carbon_nitrogen
CH2OH2                *ethylene_*glycol                          hydrogen_carbon_oxygen
CH3C2H                *methyl_*acetylene                         hydrogen_carbon
CH3CCH                *methyl_*acetylene                         hydrogen_carbon
CH3CCD                deuterated_*methylacetylene                hydrogen_deuterium_carbon
CH3CHO                *acetaldehyde                              hydrogen_carbon_oxygen
CH3NCO                *methyl_*isocyanate                        hydrogen_carbon_oxygen_nitrogen
CH3C4H                *methyldiacetylene                         hydrogen_carbon
CH32CO                *acetone                                   hydrogen_carbon_oxygen
CH3C5N                *methyl_*cyano_*diacetylene                hydrogen_carbon_nitrogen
CH3C6H                *methyltriacetylene                        hydrogen_carbon
